0,1,2,3,4,5,6,7,8
-1.48323474341067,-0.942985655065663,0.798251860013059,3.31863374535738,-10.8886354021983,5.8195066929621,84.1832112741867,-126.211677627539,1
-1.46688214036306,-0.942985655065663,0.750009769668658,3.28779320516362,-10.7595810037095,5.45304962214074,85.5203216954687,-116.823762680246,1
-1.44270603404847,-0.942985655065663,0.679667256632414,3.24219776226362,-10.5624102482768,4.92852689016978,86.761621447389,-103.59295029418,1
-1.41076649276153,-0.942985655065663,0.588528653051189,3.18196070373768,-10.2910194430564,4.26664566715994,87.1883044298817,-87.2949714616556,1
-1.3690421738715,-0.942985655065663,0.472543029791324,3.10326983537631,-9.91949825453999,3.45415263363234,85.9527637070049,-68.0056264673666,1
-1.36517607066298,-0.942985655065663,0.461972259863358,3.09597847564305,-9.88417585114966,3.38180791885712,85.7477959580175,-66.3314727564936,1
-1.33529626876866,-0.942985655065663,0.381282681340032,3.03962602651794,-9.60646139638326,2.83920909641826,83.7104807686297,-54.0282095889096,1
-1.3334779590248,-0.942985655065663,0.376430023157475,3.03619674650809,-9.58930261955983,2.80712679629223,83.5622523806474,-53.3154811091485,1
-1.2645082023682,-0.942985655065663,0.197247549808981,2.906121764187,-8.91914861076357,1.66774636795972,76.257322494655,-29.2284598286931,1
-1.22078998298846,-0.942985655065663,0.0885947385175043,2.8236704567068,-8.47777731877363,1.02162026463793,70.3164888032059,-16.800842642799,1
-1.18903181941615,-0.942985655065663,0.012063223536612,2.76377547134696,-8.15082083304484,0.587975655726575,65.5776533822829,-9.06367287494388,1
-1.1112145413878,-0.942985655065663,-0.166935687055775,2.61701431755297,-7.33340791305231,-0.352450593176162,53.1421387002001,5.69062351101094,1
-1.09240822953039,-0.942985655065663,-0.208377704101752,2.58154615294051,-7.13347077058309,-0.554577747670064,50.0663372581646,8.43342387913526,1
-1.00244115987484,-0.942985655065663,-0.396845165036256,2.41187084071356,-6.17214636565953,-1.39298299056337,35.6424776487375,17.7166853783573,1
-0.870039358373428,-0.942985655065663,-0.644764958928619,2.1621648416722,-4.77174644868899,-2.26688067758051,17.1183046658003,22.1552552187879,1
-0.855647346025559,-0.942985655065663,-0.669601063286882,2.13502191928906,-4.62246451027768,-2.33793032149867,15.388748462206,22.1352954503542,1
-0.80916941071643,-0.942985655065663,-0.74697830880829,2.04736586674191,-4.14624189685759,-2.53738021220653,10.2405120275722,21.5624798613111,1
-0.743999660960496,-0.942985655065663,-0.848197948538132,1.92445758841378,-3.49660874808692,-2.74334638398757,4.18781185627246,19.7061135036619,1
-0.741436406823011,-0.942985655065663,-0.852005498684848,1.9196233646499,-3.47155199070845,-2.74976375107641,3.97796103907017,19.6131912211493,1
-0.714153097660051,-0.942985655065663,-0.891718797150018,1.86816782632312,-3.20740011250602,-2.81046516083159,1.87618956306768,18.5498681191858,1
